행정구역,2020년01월_거주자 인구수,2020년01월_세대수,2020년01월_세대당 인구,2020년01월_남자 인구수,2020년01월_여자 인구수,2020년01월_남여 비율,2020년02월_거주자 인구수,2020년02월_세대수,2020년02월_세대당 인구,2020년02월_남자 인구수,2020년02월_여자 인구수,2020년02월_남여 비율,2020년03월_거주자 인구수,2020년03월_세대수,2020년03월_세대당 인구,2020년03월_남자 인구수,2020년03월_여자 인구수,2020년03월_남여 비율,2020년04월_거주자 인구수,2020년04월_세대수,2020년04월_세대당 인구,2020년04월_남자 인구수,2020년04월_여자 인구수,2020년04월_남여 비율,lon,lat
대구광역시 동구 신암1동(2714051000),"7,925","3,994",1.98,"3,933","3,992",0.99,"7,847","3,969",1.98,"3,894","3,953",0.99,"7,822","3,958",1.98,"3,880","3,942",0.98,"7,815","3,983",1.96,"3,889","3,926",0.99,35.88427,128.616326
대구광역시 동구 신암2동(2714052000),"11,447","4,752",2.41,"5,475","5,972",0.92,"11,376","4,725",2.41,"5,439","5,937",0.92,"11,280","4,692",2.4,"5,377","5,903",0.91,"11,083","4,621",2.4,"5,271","5,812",0.91,35.880052,128.612716
대구광역시 동구 신암3동(2714053000),"8,835","3,949",2.24,"4,327","4,508",0.96,"8,813","3,934",2.24,"4,324","4,489",0.96,"8,783","3,934",2.23,"4,302","4,481",0.96,"8,797","3,962",2.22,"4,301","4,496",0.96,35.879638,128.623134
대구광역시 동구 신암4동(2714054000),"13,691","7,127",1.92,"6,929","6,762",1.02,"13,519","7,049",1.92,"6,827","6,692",1.02,"13,324","7,002",1.9,"6,721","6,603",1.02,"13,244","6,982",1.9,"6,679","6,565",1.02,35.884978,128.62929
대구광역시 동구 신암5동(2714054100),"6,647","3,141",2.12,"3,179","3,468",0.92,"6,603","3,123",2.11,"3,156","3,447",0.92,"6,600","3,132",2.11,"3,160","3,440",0.92,"6,585","3,139",2.1,"3,152","3,433",0.92,35.889844,128.632784
대구광역시 동구 신천1.2동(2714055500),"13,533","6,016",2.25,"6,551","6,982",0.94,"13,510","6,026",2.24,"6,553","6,957",0.94,"13,453","6,033",2.23,"6,508","6,945",0.94,"13,434","6,045",2.22,"6,485","6,949",0.93,35.874608,128.624878
대구광역시 동구 신천3동(2714057000),"12,612","5,174",2.44,"6,253","6,359",0.98,"12,588","5,175",2.43,"6,240","6,348",0.98,"12,604","5,210",2.42,"6,240","6,364",0.98,"12,553","5,208",2.41,"6,201","6,352",0.98,35.875363,128.623643
대구광역시 동구 신천4동(2714058000),"7,605","4,476",1.7,"3,825","3,780",1.01,"7,568","4,478",1.69,"3,802","3,766",1.01,"7,597","4,525",1.68,"3,815","3,782",1.01,"7,618","4,569",1.67,"3,824","3,794",1.01,35.871791,128.629263
대구광역시 동구 효목1동(2714059000),"14,278","6,831",2.09,"7,073","7,205",0.98,"14,219","6,819",2.09,"7,050","7,169",0.98,"14,227","6,851",2.08,"7,059","7,168",0.98,"14,199","6,882",2.06,"7,035","7,164",0.98,35.881614,128.644835
대구광역시 동구 효목2동(2714060000),"15,078","6,953",2.17,"7,275","7,803",0.93,"15,024","6,941",2.16,"7,245","7,779",0.93,"15,003","6,966",2.15,"7,221","7,782",0.93,"14,996","6,995",2.14,"7,216","7,780",0.93,35.87764,128.638069
대구광역시 동구 도평동(2714061500),"4,233","1,995",2.12,"2,254","1,979",1.14,"4,221","1,998",2.11,"2,252","1,969",1.14,"4,225","2,000",2.11,"2,247","1,978",1.14,"4,234","2,023",2.09,"2,262","1,972",1.15,35.91092,128.654035
대구광역시 동구 불로.봉무동(2714062000),"26,964","10,600",2.54,"13,283","13,681",0.97,"26,882","10,588",2.54,"13,244","13,638",0.97,"26,855","10,622",2.53,"13,228","13,627",0.97,"26,811","10,643",2.52,"13,204","13,607",0.97,35.886576,128.635483
대구광역시 동구 지저동(2714064000),"10,277","4,771",2.15,"5,104","5,173",0.99,"10,247","4,771",2.15,"5,089","5,158",0.99,"10,214","4,779",2.14,"5,066","5,148",0.98,"10,167","4,780",2.13,"5,038","5,129",0.98,35.899837,128.641892
대구광역시 동구 동촌동(2714065500),"16,133","7,425",2.17,"8,089","8,044",1.01,"16,079","7,421",2.17,"8,072","8,007",1.01,"16,088","7,458",2.16,"8,080","8,008",1.01,"16,098","7,524",2.14,"8,092","8,006",1.01,35.886879,128.64964
대구광역시 동구 방촌동(2714067000),"18,772","7,869",2.39,"9,076","9,696",0.94,"18,707","7,861",2.38,"9,053","9,654",0.94,"18,669","7,876",2.37,"9,032","9,637",0.94,"18,600","7,872",2.36,"8,994","9,606",0.94,35.884416,128.66816
대구광역시 동구 해안동(2714068500),"15,498","6,962",2.23,"7,820","7,678",1.02,"15,440","6,969",2.22,"7,783","7,657",1.02,"15,424","6,987",2.21,"7,764","7,660",1.01,"15,363","6,998",2.2,"7,736","7,627",1.01,35.882134,128.671663
대구광역시 동구 안심1동(2714072000),"44,045","19,578",2.25,"21,549","22,496",0.96,"44,058","19,629",2.24,"21,546","22,512",0.96,"44,103","19,711",2.24,"21,548","22,555",0.96,"43,989","19,726",2.23,"21,507","22,482",0.96,35.870397,128.70205
대구광역시 동구 안심2동(2714073000),"10,396","4,484",2.32,"5,277","5,119",1.03,"10,346","4,482",2.31,"5,251","5,095",1.03,"10,298","4,484",2.3,"5,223","5,075",1.03,"10,265","4,484",2.29,"5,202","5,063",1.03,35.875531,128.687078
대구광역시 동구 안심3.4동(2714074500),"69,135","27,537",2.51,"34,094","35,041",0.97,"69,040","27,618",2.5,"34,050","34,990",0.97,"69,150","27,769",2.49,"34,092","35,058",0.97,"69,421","28,008",2.48,"34,212","35,209",0.97,35.870472,128.71071
대구광역시 동구 공산동(2714076000),"14,773","6,356",2.32,"7,260","7,513",0.97,"14,716","6,347",2.32,"7,232","7,484",0.97,"15,199","6,699",2.27,"7,491","7,708",0.97,"15,351","6,840",2.24,"7,551","7,800",0.97,35.940185,128.644146
